,date,time,location,handle,brand,tweet,posting_user,sentiment,magnitude,entities,entity_salience,geolocation,place,coordinates
0,2017-03-07,15:56:35,,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Townsend,,,,,,,
1,2017-03-07,15:51:24,Greencastle IN,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Mark Scott,,,,,,,
2,2017-03-07,15:49:47,"Terre Haute, IN",@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Holly Fields✨,,,,,,,
3,2017-03-07,15:48:12, ,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Mary,,,,,,,
4,2017-03-07,15:41:42,,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,tweetybird🐥,,,,,,,
5,2017-03-07,15:40:55,indianapolis,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Joe,,,,,,,
6,2017-03-07,15:40:32,"Pendleton, IN",@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Jill McKinney,,,,,,,
7,2017-03-07,15:39:28,Indy,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Edward Holloran III,,,,,,,
8,2017-03-07,15:38:24,,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Amanda Wood,,,,,,,
9,2017-03-07,15:35:07,"Fort Atkinson, WI",@INDairport,Indianapolis,#Indianapolis #Airport Welcomes New @FlyFrontier  Flight to Las Vegas @INDairport  https://t.co/nCQhrir4s0,Airport Business,,,,,,,
10,2017-03-07,15:35:07,"Fort Atkinson, WI",@INDairport,Indianapolis,#Indianapolis #Airport Welcomes New @FlyFrontier  Flight to Las Vegas @INDairport  https://t.co/E7IJGguIx8,AviationPros,,,,,,,
11,2017-03-07,15:34:22,"Indianapolis, IN",@INDairport,Indianapolis,"Way to go @INDairport!  Well deserved honor, you guys rock! https://t.co/2Kar9nJ2Nm",SoundSport Festival,,,,,,,
12,2017-03-07,15:32:56,"Indianapolis, IN",@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Elisa,,,,,,,
13,2017-03-07,15:32:49,,@INDairport,Indianapolis,RT @joetamborello: People really like @INDAirport! Indy's airport is rated the best in North America... for the fifth time in a row. https:…,Vandaro Jones,,,,,,,
